pdbid;chain;genus deposition date;pdb deposition date;total genus;sequence length
7dee;B;2021-11-04;2020-11-03;0;8
7arx;C;2021-11-04;2020-10-26;0;11
6yr7;C;2021-11-04;2020-04-19;0;8
7f53;L;2021-11-04;2021-06-21;0;13
7nkb;C;2021-10-28;2021-02-17;0;21
7nkn;C;2021-10-28;2021-02-18;0;23
7os4;E;2021-10-28;2021-06-07;0;10
7nkk;C;2021-10-28;2021-02-18;0;14
7roy;G;2021-10-20;2021-08-02;0;15
7otd;A;2021-10-20;2021-06-10;0;9
7o3e;P;2021-10-20;2021-04-01;0;15
7nus;D;2021-10-20;2021-03-13;0;13
7o07;P;2021-10-20;2021-03-25;0;10
7nqc;B;2021-10-20;2021-03-01;0;18
7m64;A;2021-10-20;2021-03-25;0;25
7m61;A;2021-10-20;2021-03-25;0;25
7m65;A;2021-10-20;2021-03-25;0;32
7m62;A;2021-10-20;2021-03-25;0;32
7m5l;D;2021-10-20;2021-03-24;0;8
7m5m;D;2021-10-20;2021-03-24;0;10
7lul;B;2021-10-20;2021-02-22;0;7
7lib;A;2021-10-20;2021-01-26;0;16
7lna;A;2021-10-20;2021-02-06;0;133
7ll7;B;2021-10-20;2021-02-03;0;11
7lc9;A;2021-10-20;2021-01-10;0;51
7klz;C;2021-10-20;2020-11-01;0;9
7kld;C;2021-10-20;2020-10-29;0;6
7knn;A;2021-10-20;2020-11-05;0;16
7jzq;C;2021-10-19;2020-09-02;0;7
7jqt;A;2021-10-19;2020-08-11;0;16
7jqr;A;2021-10-19;2020-08-11;0;16
7jqs;A;2021-10-19;2020-08-11;0;16
7jvs;C;2021-10-19;2020-08-22;0;11
7jqu;A;2021-10-19;2020-08-11;0;16
7jzo;C;2021-10-19;2020-09-02;0;7
7f4f;F;2021-10-19;2021-06-18;0;12
7f4i;U;2021-10-19;2021-06-18;0;6
7f4w;E;2021-10-19;2021-06-21;0;9
7ezh;P;2021-10-19;2021-06-01;0;8
7ezk;P;2021-10-19;2021-06-01;0;8
7f2o;D;2021-10-19;2021-06-11;0;9
7f4d;M;2021-10-19;2021-06-18;0;12
7eib;D;2021-10-19;2021-03-30;0;9
7e0f;A;2021-10-19;2021-01-27;0;49
7edo;C;2021-10-19;2021-03-16;0;8
7dwv;A;2021-10-19;2021-01-18;0;43
7drm;E;2021-10-19;2020-12-29;0;25
7d63;X1;2021-10-19;2020-09-29;0;407
7e9s;B;2021-10-19;2021-03-05;0;9
7cnu;C;2021-10-19;2020-08-03;0;9
7ac9;I;2021-10-19;2020-09-10;0;10
6xqi;H;2021-10-19;2020-07-09;0;6
7l98;A;2021-10-19;2021-01-03;0;5
7l9d;A;2021-10-19;2021-01-03;0;5
7dvd;E;2021-10-19;2021-01-13;0;15
6tbt;C;2021-10-18;2019-11-04;0;6
6tcj;C;2021-10-18;2019-11-06;0;17
5r42;A;2021-10-18;2020-02-18;0;10
7drp;E;2021-10-18;2020-12-29;0;25
7drn;E;2021-10-18;2020-12-29;0;25
7nsp;7;2021-10-18;2021-03-08;0;7
7rnu;B;2021-10-18;2021-07-29;0;5
7pdz;P;2021-10-18;2021-08-09;0;6
7mkg;A;2021-10-18;2021-04-23;0;73
5r46;A;2021-10-18;2020-02-18;0;10
7dfa;V;2021-10-18;2020-11-06;0;23
7oun;B;2021-10-18;2021-06-12;0;14
7mkf;A;2021-10-18;2021-04-23;0;73
5r45;A;2021-10-18;2020-02-18;0;10
7osc;A;2021-10-18;2021-06-08;0;24
7rg1;B;2021-07-29;2021-07-14;0;19
7p3d;C;2021-07-29;2021-07-07;0;9
7rfz;B;2021-07-29;2021-07-14;0;19
7rfx;B;2021-07-29;2021-07-14;0;19
7rfy;B;2021-07-29;2021-07-14;0;18
7nmz;C;2021-07-29;2021-02-23;0;118
7mkh;A;2021-07-29;2021-04-23;0;75
7jrx;A;2021-07-29;2020-08-13;0;13
6zbt;E;2021-07-29;2020-06-09;0;7
6zwk;G;2021-07-29;2020-07-28;0;6
6xs8;B;2021-07-29;2020-07-15;0;11
6xp6;C;2021-07-29;2020-07-08;0;13
6xs5;B;2021-07-29;2020-07-15;0;15
6xs9;C;2021-07-29;2020-07-15;0;14
7o30;P;2021-07-08;2021-04-01;0;10
7o33;P;2021-07-08;2021-04-01;0;13
7o31;P;2021-07-08;2021-04-01;0;10
7d0q;B;2021-07-08;2020-09-11;0;28
7d0o;B;2021-07-08;2020-09-11;0;28
7cfq;B;2021-07-08;2020-06-27;0;7
7cfp;B;2021-07-08;2020-06-27;0;7
6xmn;B;2021-07-08;2020-06-30;0;29
6wbc;B;2021-07-08;2020-03-26;0;10
6wba;B;2021-07-08;2020-03-26;0;10
6wbb;B;2021-07-08;2020-03-26;0;10
7o9m;m;2021-07-01;2021-04-16;0;45
7mgr;B;2021-07-01;2021-04-13;0;8
7n8j;B;2021-07-01;2021-06-15;0;25
7n89;C;2021-07-01;2021-06-14;0;8
7mgv;T;2021-07-01;2021-04-13;0;11
7mgs;B;2021-07-01;2021-04-13;0;8
7jyn;B;2021-07-01;2020-08-31;0;39
7e6j;B;2021-07-01;2021-02-22;0;18
7ef0;P;2021-07-01;2021-03-20;0;14
7azx;C;2021-07-01;2020-11-17;0;21
6z9v;C;2021-07-01;2020-06-04;0;9
6zft;I;2021-07-01;2020-06-17;0;46
7e9h;C;2021-06-26;2021-03-04;0;19
7abt;B;2021-06-25;2020-09-08;0;8
7ok6;BBB;2021-06-17;2021-05-17;0;5
7o5a;P;2021-06-17;2021-04-08;0;9
7az1;P;2021-06-17;2020-11-14;0;7
7bgv;P;2021-06-17;2021-01-08;0;9
7alo;C;2021-06-17;2020-10-07;0;9
7axn;P;2021-06-17;2020-11-10;0;9
7ayf;P;2021-06-17;2020-11-12;0;7
7az2;P;2021-06-17;2020-11-14;0;7
7bdy;P;2021-06-17;2020-12-22;0;8
7ncs;C;2021-06-03;2021-01-29;0;56
7lh5;BK;2021-06-03;2021-01-21;0;140
7bb7;H;2021-06-03;2020-12-17;0;9
7bb6;H;2021-06-03;2020-12-17;0;9
7c8e;C;2021-06-03;2020-05-30;0;6
7lh5;B4;2021-06-03;2021-01-21;0;45
6x78;G;2021-06-03;2020-05-29;0;5
7kh0;L;2021-05-27;2020-10-19;0;9
7b5k;v;2021-05-27;2020-12-03;0;8
6z19;C;2021-05-27;2020-05-13;0;7
7cwh;A;2021-05-27;2020-08-28;0;11
7cke;A;2021-05-27;2020-07-16;0;39
7ckd;A;2021-05-27;2020-07-16;0;39
7b7u;N;2021-05-20;2020-12-11;0;30
7c41;D;2021-05-20;2020-05-14;0;10
6ysj;I;2021-05-13;2020-04-22;0;10
6yxm;BBB;2021-05-13;2020-05-03;0;11
6ysx;I;2021-05-13;2020-04-23;0;10
6yxk;C;2021-05-13;2020-05-03;0;9
7nvv;Z;2021-05-06;2021-03-16;0;16
7ns3;Fb;2021-05-06;2021-03-05;0;3
6uj7;C;2021-05-06;2019-10-02;0;10
7c1d;A;2021-05-06;2020-05-03;0;51
6uj8;C;2021-05-06;2019-10-02;0;10
6uj9;C;2021-05-06;2019-10-02;0;10
7e82;5;2021-04-29;2021-02-28;0;21
7e80;5;2021-04-29;2021-02-28;0;21
7e82;0;2021-04-29;2021-02-28;0;15
7dac;A;2021-04-29;2020-10-16;0;29
7ngf;G;2021-04-29;2021-02-09;0;55
6lup;C;2021-04-29;2020-01-30;0;9
6yqv;I;2021-04-29;2020-04-18;0;11
6wsj;I;2021-04-29;2020-05-01;0;6
7am2;U7;2021-04-29;2020-10-07;0;40
7bz9;A;2021-04-29;2020-04-27;0;15
7cg0;5;2021-04-29;2020-06-30;0;21
7cg0;0;2021-04-29;2020-06-30;0;15
7cgo;0;2021-04-29;2020-07-01;0;15
7cgo;5;2021-04-29;2020-07-01;0;21
7am2;U2;2021-04-29;2020-10-07;0;37
7da4;A;2021-04-29;2020-10-14;0;22
7e80;0;2021-04-29;2021-02-28;0;15
7lgt;E;2021-04-22;2021-01-21;0;9
6ymp;I;2021-04-22;2020-04-09;0;11
6who;F;2021-04-22;2020-04-08;0;7
7bxv;A;2021-04-22;2020-04-21;0;5
6whn;F;2021-04-22;2020-04-08;0;7
6yn3;I;2021-04-22;2020-04-10;0;10
6whq;F;2021-04-22;2020-04-08;0;7
7jyv;C;2021-04-15;2020-09-01;0;9
7doc;A;2021-04-15;2020-12-14;0;39
7ako;C;2021-04-15;2020-10-01;0;10
7jyx;C;2021-04-15;2020-09-01;0;11
7lin;B;2021-04-15;2021-01-27;0;8
7d6r;G;2021-04-15;2020-10-01;0;5
7d35;B;2021-04-15;2020-09-18;0;10
6yhj;I;2021-04-15;2020-03-30;0;11
7doc;E;2021-04-15;2020-12-14;0;39
6xbf;F;2021-04-08;2020-06-05;0;6
7k2q;P;2021-04-08;2020-09-08;0;6
7k2r;P;2021-04-08;2020-09-08;0;6
7k29;P;2021-04-08;2020-09-08;0;9
7k2a;P;2021-04-08;2020-09-08;0;9
7k2c;P;2021-04-08;2020-09-08;0;9
7k2e;P;2021-04-08;2020-09-08;0;7
7k2p;P;2021-04-08;2020-09-08;0;6
7k2n;P;2021-04-08;2020-09-08;0;6
7k28;P;2021-04-08;2020-09-08;0;9
7k2o;P;2021-04-08;2020-09-08;0;6
7k2m;P;2021-04-08;2020-09-08;0;7
7k2h;P;2021-04-08;2020-09-08;0;7
7k2s;P;2021-04-08;2020-09-08;0;6
7de9;P;2021-04-08;2020-11-03;0;5
7k2b;P;2021-04-08;2020-09-08;0;9
7ec4;E;2021-04-08;2021-03-11;0;4
7brl;L;2021-04-08;2020-03-29;0;15
7ar4;PaP;2021-04-08;2020-10-23;0;14
7k2g;P;2021-04-08;2020-09-08;0;7
7ngc;G;2021-04-08;2021-02-09;0;55
7k2k;P;2021-04-08;2020-09-08;0;6
7k2d;P;2021-04-08;2020-09-08;0;7
7k2j;P;2021-04-08;2020-09-08;0;7
7k2l;P;2021-04-08;2020-09-08;0;6
7m4r;C;2021-04-08;2021-03-22;0;9
7lj0;A;2021-04-08;2021-01-28;0;27
6l7i;H;2021-04-08;2019-11-01;0;16
6yhg;I;2021-04-08;2020-03-29;0;11
6xbe;F;2021-04-08;2020-06-05;0;6
6y9h;I;2021-04-08;2020-03-09;0;11
6yb6;I;2021-04-08;2020-03-16;0;11
7ne0;C;2021-04-08;2021-02-02;0;31
6l71;C;2021-04-08;2019-10-30;0;6
6soa;C;2021-04-08;2019-08-29;0;59
7nrq;A;2021-03-25;2021-03-04;0;77
7cnw;B;2021-03-25;2020-08-03;0;33
7m2a;A;2021-03-25;2021-03-16;0;7
7m29;A;2021-03-25;2021-03-16;0;8
7nrt;A;2021-03-25;2021-03-04;0;77
7nrs;A;2021-03-25;2021-03-04;0;77
7nrv;A;2021-03-25;2021-03-04;0;77
7m2b;A;2021-03-25;2021-03-16;0;8
7m28;A;2021-03-25;2021-03-16;0;7
7nrx;A;2021-03-25;2021-03-04;0;77
7cny;B;2021-03-25;2020-08-03;0;33
7dco;U;2021-03-20;2020-10-26;0;27
7ahi;1Z;2021-03-20;2020-09-24;0;141
6yyy;B;2021-03-20;2020-05-06;0;18
7kzv;W;2021-03-20;2020-12-10;0;39
7kzp;W;2021-03-20;2020-12-10;0;39
7kzq;W;2021-03-20;2020-12-10;0;39
6m0y;A;2021-03-20;2020-02-24;0;12
7ncj;A;2021-03-20;2021-01-28;0;61
7ds4;C;2021-03-20;2020-12-30;0;15
7k3l;B;2021-03-20;2020-09-11;0;12
7kzr;W;2021-03-20;2020-12-10;0;39
7knu;P;2021-03-20;2020-11-06;0;11
6yba;Q;2021-03-20;2020-03-16;0;50
7kzt;W;2021-03-20;2020-12-10;0;39
7blq;U;2021-03-20;2021-01-18;0;10
7kzs;W;2021-03-20;2020-12-10;0;39
6yba;U;2021-03-20;2020-03-16;0;29
7ds6;C;2021-03-20;2020-12-30;0;17
7ah9;1Z;2021-03-20;2020-09-24;0;141
7ds3;C;2021-03-20;2020-12-30;0;19
7klr;B;2021-03-20;2020-10-31;0;10
6wwc;C;2021-03-20;2020-05-09;0;8
7nch;A;2021-03-20;2021-01-28;0;78
7ng5;G;2021-03-20;2021-02-08;0;55
7ds2;C;2021-03-20;2020-12-30;0;23
7ncg;A;2021-03-20;2021-01-28;0;61
7dsb;D;2021-03-20;2020-12-30;0;18
6vxg;A;2021-03-20;2020-02-21;0;16
6ww9;X;2021-03-20;2020-05-08;0;23
7k3k;B;2021-03-20;2020-09-11;0;14
7nca;A;2021-03-20;2021-01-28;0;61
7nck;A;2021-03-20;2021-01-28;0;64
7cl0;D;2021-03-20;2020-07-20;0;7
7cl1;C;2021-03-20;2020-07-20;0;8
6y02;C;2021-02-18;2020-02-06;0;11
6xzh;B;2021-02-18;2020-02-04;0;9
6vqp;Q;2021-02-18;2020-02-05;0;8
6zcf;A;2021-02-18;2020-06-11;0;37
7lmm;F;2021-02-18;2021-02-05;0;8
6zch;A;2021-02-18;2020-06-11;0;69
7dno;C;2021-02-11;2020-12-10;0;6
6y7v;B;2021-02-11;2020-03-02;0;5
7bxt;K;2021-02-11;2020-04-20;0;19
6z7n;0;2021-02-11;2020-05-31;0;12
6z7n;P;2021-02-11;2020-05-31;0;58
6vzj;Z;2021-02-04;2020-02-28;0;30
7lfz;C;2021-02-04;2021-01-19;0;9
6ycr;B;2021-02-04;2020-03-18;0;13
6y8k;PPP;2021-02-04;2020-03-05;0;15
6x1t;M;2021-02-04;2020-05-19;0;6
6x1s;G;2021-02-04;2020-05-19;0;5
7lg2;C;2021-02-04;2021-01-19;0;9
6opj;B;2021-02-01;2019-04-25;0;12
6x89;A;2021-02-01;2020-06-01;0;18
6l63;B;2021-02-01;2019-10-26;0;17
6lqz;B;2021-02-01;2020-01-15;0;58
6vyr;Z;2021-02-01;2020-02-27;0;30
6x6t;Z;2021-02-01;2020-05-29;0;30
6x7f;Z;2021-02-01;2020-05-29;0;30
6x9q;Z;2021-01-31;2020-06-03;0;30
6vyq;Z;2021-01-31;2020-02-27;0;30
6vys;Z;2021-01-31;2020-02-27;0;30
6vu3;Z;2021-01-31;2020-02-14;0;30
6x7k;Z;2021-01-31;2020-05-30;0;30
6l9l;B;2021-01-29;2019-11-10;0;9
6lhg;C;2021-01-29;2019-12-08;0;8
6ljk;B;2021-01-29;2019-12-17;0;7
6ljn;B;2021-01-29;2019-12-17;0;4
6pag;C;2021-01-29;2019-06-11;0;9
6l65;C;2021-01-29;2019-10-28;0;5
